town11nm,latitude,longitude
manningtree,51.9450866,1.0630218
keynsham,51.4149818,-2.5006001
sleaford,52.99965,-0.4095586
barrow-in-furness,54.1288796,-3.2269008
wellesbourne,52.1947964,-1.5911203
clowne,53.2746354,-1.2685349
chatteris,52.4549017,0.0504338
brixham,50.3952404,-3.514544
murton (county durham),54.8155828,-1.3897513
tiverton,50.9025623,-3.4875797
hurstpierpoint,50.933463,-0.1781416
south hayling,50.7853802,-0.9780293
egremont,54.4838316,-3.5327921
swaffham,52.6481171,0.6909259
ledbury,52.0357457,-2.4287821
skipton,53.9618497,-2.0160287
bradford on avon,51.346715,-2.2504329
oundle,52.4808725,-0.4674161
sherburn in elmet,53.7975092,-1.2329024
ludlow,52.3679896,-2.7193114
bingham,43.1881598,-112.3598354
lewes,50.8746139,0.0051153
benson,48.0191362,-99.403103
liphook,51.0717506,-0.8002983
haxby,54.0175196,-1.0730544
shaftesbury,51.0056195,-2.1955975
bungay,52.4562248,1.4373413
calne,51.4388908,-2.0010978
king's hill,22.5111738,114.1695965
cobham (elmbridge),51.3300079,-0.4120821
beccles,52.4583779,1.5622924
tiptree,51.8105624,0.750687
peacehaven,50.7969519,0.0068955
tetbury,51.639272,-2.1594783
leighton buzzard,51.9165794,-0.6620551
broughton astley,52.5356492,-1.2308696
whittlesey,52.5550114,-0.122643
brandon (forest heath),NA,NA
cottenham,52.2973512,0.1403407
bourne,52.7682345,-0.3771579
staplehurst,51.1636637,0.5562139
cheadle,53.3936441,-2.2122068
brixworth,52.3244057,-0.8894063
chipping ongar,51.7059503,0.2453417
fleetwood,53.9219585,-3.0327286
shildon,54.6351323,-1.64795
hemsby,52.6940106,1.6831985
ashby-de-la-zouch,52.7471344,-1.4712148
wadebridge,50.5171441,-4.8340186
harpenden,51.8145103,-0.3549311
halesworth,52.3418147,1.5001649
attleborough,52.5179648,1.0105931
fleet,51.2828601,-0.8316334
ramsey (huntingdonshire),52.4494068,-0.1021136
wantage,51.5878072,-1.4249258
east leake,52.8298872,-1.1800839
askern,53.6167934,-1.1531828
long sutton (south holland),52.776787,0.1193859
battle,50.9265004,0.4757177
new ollerton,53.2042408,-1.0067597
uttoxeter,52.8980321,-1.8649214
bircotes,53.4167902,-1.0578974
north walsham,52.8213308,1.3861979
seaton (east devon),50.7045566,-3.0705105
stotfold,52.015001,-0.2251352
shepshed,52.7596918,-1.3028094
clacton-on-sea,51.7883997,1.1527865
whitby,54.4874141,-0.6155111
ashbourne,53.0173327,-1.7342725
cheltenham,51.8995685,-2.0711559
congleton,53.1635322,-2.2108035
